roll no.,name,science,math,english,nepali,attendance,study_hours
1,Maya Gurung,91.0,73.0,78.0,91.0,52.0,5.0
2,Bishal Sharma,92.0,77.0,87.0,66.0,83.0,3.0
3,Sita Sharma,47.0,71.0,92.0,80.0,64.0,5.0
4,Krishna Basnet,53.0,94.0,47.0,63.0,98.0,2.0
5,Sita Joshi,96.0,58.0,69.0,72.0,78.0,5.0
6,Hari Poudel,48.0,59.0,46.0,82.0,88.0,2.0
7,Hari Thapa,55.0,93.0,74.0,49.0,85.0,2.0
8,Bikram Sharma,91.0,59.0,97.0,64.0,98.0,3.0
9,Niranjan Tamang,73.0,98.0,50.0,48.0,60.0,3.0
10,Suresh Adhikari,44.0,47.0,89.0,51.0,suspended,1.0
11,Pooja Maharjan,50.0,99.0,78.0,47.0,65.0,2.0
12,Rahul Subedi,93.0,51.0,75.0,53.0,77.0,6.0
13,Suresh Sharma,56.0,44.0,86.0,43.0,51.0,four
14,Sita Subedi,52.0,74.0,41.0,65.0,85.0,2.0
15,Sita Shrestha,81.0,89.0,53.0,60.0,66.0,3.0
16,Gita Adhikari,82.0,95.0,77.0,93.0,61.0,5.0
17,Maya Karki,71.0,97.0,,41.0,66.0,4.0
18,Sunita Subedi,89.0,49.0,95.0,79.0,81.0,5.0
19,Krishna Gurung,90.0,48.0,92.0,47.0,91.0,4.0
20,Suresh Maharjan,40.0,96.0,49.0,89.0,72.0,3.0
21,Anjali Adhikari,97.0,82.0,88.0,81.0,96.0,2.0
22,Kiran Thapa,61.0,64.0,41.0,44.0,76.0,6.0
23,Hari Adhikari,48.0,93.0,69.0,97.0,79.0,3.0
24,Suresh Sharma,84.0,63.0,91.0,88.0,95.0,1.0
25,Jyoti Dahal,50.0,71.0,98.0,72.0,96.0,1.0
26,Maya Tamang,66.0,97.0,82.0,41.0,97.0,4.0
27,Gaurav Karki,51.0,84.0,77.0,78.0,86.0,2.0
28,Krishna Sharma,56.0,58.0,59.0,78.0,95.0,5.0
29,Bikram Joshi,99.0,75.0,48.0,92.0,90.0,1.0
30,Hari Shrestha,64.0,96.0,88.0,41.0,96.0,2.0
31,Jyoti Shrestha,82.0,85.0,75.0,54.0,92.0,1.0
32,Esha Rai,84.0,47.0,74.0,43.0,90.0,2.0
33,Sunita Maharjan,80.0,68.0,59.0,59.0,96.0,3.0
34,Bishal Sharma,55.0,93.0,71.0,56.0,97.0,2.0
35,Sita Gurung,46.0,88.0,77.0,78.0,99.0,6.0
36,Maya Poudel,90.0,92.0,69.0,47.0,65.0,4.0
37,Aarati Sharma,68.0,89.0,64.0,65.0,71.0,6.0
38,Kiran Shrestha,56.0,54.0,88.0,93.0,81.0,2.0
39,Ishwar Joshi,72.0,46.0,59.0,74.0,92.0,5.0
40,Bikram Poudel,48.0,94.0,75.0,85.0,90.0,3.0
41,Deepak Shrestha,73.0,63.0,78.0,50.0,84.0,1.0
42,Sandeep Oli,69.0,45.0,63.0,47.0,91.0,4.0
43,Niranjan Basnet,40.0,54.0,74.0,50.0,60.0,2.0
44,Nabin Karki,93.0,42.0,72.0,90.0,88.0,1.0
45,Sita Joshi,78.0,57.0,88.0,99.0,94.0,1.0
46,Kiran Karki,97.0,55.0,69.0,48.0,71.0,2.0
47,Sita Thapa,63.0,95.0,90.0,94.0,94.0,6.0
48,Maya Joshi,48.0,64.0,98.0,70.0,72.0,1.0
49,Niranjan Maharjan,91.0,48.0,82.0,76.0,76.0,5.0
50,Sunita Pradhan,44.0,83.0,77.0,44.0,79.0,4.0
51,Aarati Oli,63.0,79.0,93.0,97.0,95.0,1.0
52,Samikshya Joshi,90.0,66.0,40.0,88.0,96.0,4.0
53,Hari Poudel,50.0,99.0,88.0,72.0,97.0,4.0
54,Bishal Sharma,60.0,83.0,59.0,41.0,86.0,4.0
55,Krishna Poudel,40.0,89.0,93.0,54.0,95.0,3.0
56,Jyoti Gurung,59.0,85.0,75.0,43.0,54.0,2.0
57,Sunita Pradhan,81.0,62.0,74.0,59.0,96.0,4.0
58,Ishwar Shrestha,51.0,75.0,63.0,56.0,85.0,1.0
59,Esha Sharma,90.0,83.0,50.0,85.0,99.0,3.0
60,Suresh Karki,62.0,82.0,91.0,51.0,,3.0
61,Niranjan Basnet,41.0,88.0,48.0,56.0,66.0,6.0
62,Anjali Gurung,48.0,73.0,99.0,94.0,81.0,1.0
63,Gaurav Shrestha,69.0,66.0,87.0,72.0,94.0,4.0
64,Sandeep Sharma,96.0,65.0,50.0,89.0,72.0,3.0
65,Ramesh Poudel,44.0,98.0,58.0,76.0,76.0,4.0
66,Samikshya Joshi,68.0,41.0,87.0,95.0,79.0,2.0
67,Aarati Rai,97.0,42.0,84.0,97.0,95.0,2.0
68,Pooja Maharjan,75.0,98.0,93.0,72.0,97.0,1.0
69,Maya Poudel,97.0,94.0,93.0,90.0,86.0,3.0
70,Kiran Dahal,43.0,77.0,77.0,84.0,91.0,2.0
71,Sita Karki,99.0,57.0,49.0,50.0,92.0,1.0
72,Nabin Karki,57.0,47.0,56.0,47.0,90.0,5.0
73,Hari Oli,95.0,84.0,62.0,50.0,84.0,6.0
74,Bishal Sharma,40.0,84.0,56.0,88.0,91.0,2.0
75,Krishna Subedi,46.0,55.0,99.0,94.0,60.0,3.0
76,Jyoti Karki,84.0,54.0,64.0,96.0,88.0,1.0
77,Sunita Pradhan,77.0,69.0,82.0,49.0,94.0,6.0
78,Ishwar Sharma,64.0,49.0,82.0,89.0,71.0,four
79,Esha Subedi,77.0,67.0,98.0,81.0,94.0,5.0
80,Suresh Karki,90.0,82.0,78.0,67.0,96.0,5.0
81,Niranjan Maharjan,51.0,92.0,75.0,81.0,65.0,2.0
82,Anjali Adhikari,71.0,76.0,49.0,67.0,99.0,6.0
83,Gaurav Karki,83.0,57.0,41.0,78.0,98.0,3.0
84,Sandeep Sharma,83.0,96.0,75.0,81.0,85.0,6.0
85,Ramesh Sharma,68.0,54.0,80.0,84.0,87.0,1.0
86,Samikshya Tamang,79.0,63.0,68.0,98.0,93.0,5.0
87,Aarati Maharjan,99.0,60.0,69.0,41.0,83.0,1.0
88,Pooja Thapa,66.0,98.0,54.0,72.0,85.0,6.0
89,Maya Maharjan,94.0,91.0,41.0,88.0,79.0,1.0
90,Kiran Subedi,78.0,57.0,90.0,56.0,73.0,3.0
91,Sita Oli,65.0,92.0,58.0,71.0,73.0,4.0
92,Nabin Karki,47.0,86.0,92.0,92.0,79.0,2.0
93,Hari Shrestha,43.0,41.0,40.0,99.0,73.0,1.0
94,Bishal Sharma,73.0,49.0,43.0,59.0,92.0,4.0
95,Krishna Shrestha,60.0,175.0,91.0,79.0,-25.0,1.0
96,Jyoti Karki,80.0,68.0,43.0,64.0,85.0,1.0
97,Sunita Sharma,63.0,74.0,99.0,74.0,63.0,2.0
98,Ishwar Shrestha,47.0,74.0,48.0,64.0,85.0,2.0
99,Esha Shrestha,67.0,46.0,91.0,84.0,83.0,4.0
100,Suresh Adhikari,94.0,62.0,48.0,74.0,63.0,2.0
101,Niranjan Shrestha,40.0,74.0,58.0,69.0,63.0,6.0
102,Anjali Poudel,65.0,94.0,79.0,50.0,76.0,4.0
103,Gaurav Gurung,65.0,81.0,71.0,46.0,50.0,3.0
104,Sandeep Karki,69.0,76.0,71.0,48.0,54.0,2.0
105,Ramesh Subedi,71.0,46.0,63.0,69.0,61.0,5.0
106,Samikshya Joshi,999.0,96.0,93.0,91.0,84.0,4.0
107,Aarati Shrestha,59.0,69.0,98.0,92.0,63.0,1.0
108,Pooja Thapa,40.0,96.0,82.0,93.0,76.0,2.0
109,Maya Thapa,45.0,47.0,98.0,92.0,100.0,1.0
110,Kiran Tamang,83.0,63.0,40.0,90.0,94.0,3.0
111,Sita Joshi,88.0,97.0,56.0,45.0,71.0,6.0
112,Nabin Sharma,76.0,88.0,59.0,97.0,77.0,4.0
113,Hari Poudel,71.0,72.0,40.0,96.0,77.0,2.0
114,Bishal Sharma,71.0,94.0,45.0,66.0,62.0,3.0
115,Krishna Subedi,63.0,175.0,54.0,48.0,-25.0,1.0
116,Jyoti Karki,55.0,72.0,91.0,81.0,81.0,3.0
117,Sunita Pradhan,58.0,65.0,95.0,88.0,88.0,6.0
118,Ishwar Sharma,79.0,78.0,40.0,56.0,98.0,4.0
119,Esha Subedi,74.0,46.0,43.0,58.0,51.0,3.0
120,Suresh Karki,41.0,40.0,91.0,58.0,60.0,2.0
121,Niranjan Maharjan,80.0,74.0,48.0,79.0,55.0,2.0
122,Anjali Adhikari,63.0,91.0,69.0,99.0,55.0,4.0
